id	Cancer1	Cancer2	Normal1	Normal2
ENSG00000008405	11516.5474832	15289.0560527	440.898632816	14381.3355955
ENSG00000008438	136.533083276	217.676738389	112.052366649	79.0564995348
ENSG00000008441	4138.77304566	151.186440369	145.651531697	374.878749934
ENSG00000008513	3667.39470197	4216.107353	45323.1484765	3125.89399268
ENSG00000008516	269.352093135	237.249755352	52.7419939681	42.5891075463
ENSG00000008517	520.974226378	340.401721897	214.513844808	191.221497307
ENSG00000008710	285098.20477	354855.270323	246598.627196	382501.120438
ENSG00000008735	1052.21254511	433.149092043	662.870039862	783.729066846
ENSG00000008838	55440.4289658	50590.0913083	41557.5424945	49351.3179986
ENSG00000008853	18262.8636712	45088.912094	92541.5929556	16211.7917848
ENSG00000008869	68077.1512013	67586.0996096	75746.1216426	38512.8978124
ENSG00000008952	776376.424625	663611.360566	955118.477269	254317.374965
ENSG00000008988	1078072.70592	697924.922624	450644.375778	752274.522323
ENSG00000009307	2336795.14647	1389841.53192	1181459.83328	911087.309232
ENSG00000009335	199306.51779	157952.799357	111301.40366	79886.0409849
ENSG00000009413	103301.822023	85497.3040822	75025.6447802	88767.4949693
ENSG00000009694	1918.3181	111.422533386	613.144442376	3486.18403941
ENSG00000009709	0.135484024061	0.133538957077	0.130803953487	0.131975421432
ENSG00000009724	1937.16140157	3335.44322792	2119.37580218	3782.7927349
ENSG00000009765	859.894781262	1186.12208023	1369.46274386	1287.9140676
ENSG00000009780	6791.26281039	7670.74172528	8981.37329628	6127.15813723
ENSG00000009790	13845.0262053	2974.80288779	10446.3508942	16813.1549316
ENSG00000009830	11249.849456	16120.533163	17496.0517894	20161.2296816
ENSG00000009844	15012.7146446	10732.8199945	6478.54685192	5720.17948075
ENSG00000009950	302.840685652	360.740850514	567.159556234	602.322262456
ENSG00000009954	257964.651053	226446.775855	150384.491346	75646.1028527
ENSG00000010017	131201.950875	73064.3132345	62582.3560166	70037.3962915
ENSG00000010030	163.450701196	132.553508022	443.793383166	355.874046595
ENSG00000010072	8665.23619025	8437.42916776	6743.86021855	5214.1228971
ENSG00000010165	25486.78575	13914.5354303	9990.38997775	12737.8820153
ENSG00000010219	3501.31118627	2673.92638575	1743.84081161	2398.74513758
ENSG00000010244	351763.947482	267438.536535	261976.13094	370955.152053
ENSG00000010256	124538.238833	62217.2851999	34187.6416052	40780.20524
ENSG00000010270	9240.16140505	8512.11865231	7619.92516931	5764.17298415
ENSG00000010278	80338.376671	129321.55236	494.36348023	84116.426037
ENSG00000010282	2.48913360743	1.72297735405	1.21119356469	1.61123016923
ENSG00000010292	48200.0831082	25259.0068188	26707.8096146	14930.1536038
ENSG00000010295	15512.7551471	13563.1789553	13628.2013702	18477.0171812
ENSG00000010310	15547.6940311	15462.9247594	6892.38155816	3790.21390811
ENSG00000010318	4371.39109449	3960.29379146	7497.91613819	3060.82936447
ENSG00000010319	265.223838969	253.192632798	208.950200045	115.01245993
ENSG00000010322	156525.211691	135794.319329	99206.4202638	87451.7832591
ENSG00000010327	413.271011192	1545.97576471	338.484476134	968.43597259
ENSG00000010361	8308.66149461	5784.20930192	6525.01955585	9135.6343558
ENSG00000010379	399.899961086	493.510397062	58.2146166296	327.927879132
ENSG00000010404	725779.645963	315343.212177	562777.185795	916110.447212
ENSG00000010438	4.47039128988	1.89414553825	1.38302009999	1.44025941416
ENSG00000010539	3958.62001514	4759.19073861	4098.18491045	3152.13713828
ENSG00000010610	2765.96945105	2743.27450358	345.382236587	1991.18800245
ENSG00000010626	999.538291423	1199.97418986	1395.73440626	1171.11841738
ENSG00000010671	77986.1399749	57100.5108027	49077.0728926	29974.4675244
ENSG00000010704	2012.92379188	993.971948022	1220.77024477	3615.86193066
ENSG00000010803	35211.9497241	29431.4092025	27518.7526958	26561.1201899
ENSG00000010810	481.393956182	1032.29739463	526.729355698	1550.96725859
ENSG00000010818	154124.998892	99560.2522741	71721.538916	82285.6422066
ENSG00000010932	7.79263026439	118.943589783	4.74447283414	12.5887051303
ENSG00000011007	86457.5970625	52395.2864485	45640.4922436	23125.2119015
ENSG00000011009	18908.7927638	13809.7939827	10282.2651824	15533.3002536
ENSG00000011021	8650.82600271	6527.21328991	11901.7719528	13148.3694113
ENSG00000011028	137.617735733	137.910530901	97.0583483069	352.00759773
ENSG00000011052	2735.80652101	264.546497755	122.881954504	683.399107575
ENSG00000011083	0.389339264904	0.497919495749	0.365813582472	0.367600587968
ENSG00000011105	15.9879414094	11.072252918	16.0381952452	35.3559236656
ENSG00000011114	56690.6720642	55523.3130501	51181.6914882	33205.5329856
ENSG00000011132	27476.5067717	27384.4712776	21995.5051373	18985.7456472
ENSG00000011143	901.87969832	2435.46242378	267.418621175	571.501274365
ENSG00000011198	21633.9103989	5817.24486322	3021.84414333	5842.88635337
ENSG00000011201	6.81789386505	69.5851265154	7.01330476945	12.2810469389
ENSG00000011243	103369.315964	64212.6154968	40995.8536028	72149.762608
ENSG00000011258	30886.3562281	25000.4115044	28848.1585278	26088.2499665
ENSG00000011260	18369.923973	15522.6175657	12772.4990875	16662.9463656
ENSG00000011275	47039.6056609	95856.881371	6870.11885463	43351.0410409
ENSG00000011295	49511.7129731	47295.4431008	49487.7126103	27137.2706918
ENSG00000011304	630151.214934	386128.854238	263331.397909	285467.930453
ENSG00000011332	619.732476553	1456.17580264	1749.35320745	1292.1660352
ENSG00000011347	3.33549607252	5.19251437818	3.63711597085	1.71834288853
ENSG00000011376	13335.1761491	9045.43422988	14315.7385156	5845.38256668
ENSG00000011405	193382.459529	218306.362598	145597.234262	231487.105635
ENSG00000011422	1437.08947422	1861.30797638	1718.46236991	1661.79201641
ENSG00000011426	2937.0557171	2275.72698019	4585.43159483	1281.34259392
ENSG00000011451	79115.8845886	62216.1523192	31046.8625008	47988.4238104
ENSG00000011454	77387.4935961	62977.2949056	42976.4041803	37504.9476519
ENSG00000011465	288.53548696	318.123310713	525.151174279	2244.14021918
ENSG00000011478	48691.1829491	28057.5167557	38696.6075037	44009.2497429
ENSG00000011485	42379.6907494	51980.5067945	18716.4917464	29143.270927
ENSG00000011523	25627.2342518	39728.8782265	44223.8943424	71897.3662786
ENSG00000011566	38596.4929549	74884.7002103	99897.7828599	96809.1560748
ENSG00000011590	5213.53284751	473.762874669	272.668378879	750.849030508
ENSG00000011600	79.6268393741	72.6313087028	47.9809874132	67.5781535235
ENSG00000011638	1756.72546977	2975.11697428	3595.52155789	2651.98488415
ENSG00000011677	46.82399638	82.4903792917	402.970173765	631.672604681
ENSG00000012048	8647.79139377	5020.90605079	17358.0612735	5743.05685802
ENSG00000012061	37670.9679282	37686.6396289	25949.3366443	35858.5389678
ENSG00000012124	547.047431889	508.017888341	564.939883274	668.505410139
ENSG00000012171	5803.88634706	3408.89243156	1412.1131795	2626.29078185
ENSG00000012174	25929.832883	15403.7667006	9645.88205121	10459.0949195
ENSG00000012211	4122.71804903	4039.51869953	4686.98682294	4559.44595318
ENSG00000012223	374.614939604	304.296718752	341.906732084	72.3180986965
ENSG00000012232	27223.0894445	59357.6334404	22724.1949576	27555.9887513
ENSG00000012504	0.09429390004	0.0940800739004	0.0937749224543	0.0939062784942
ENSG00000012660	67106.3372853	29099.0912334	12967.674938	17518.735856
ENSG00000012779	174383.252338	22098.2544426	29986.302639	24865.724626
ENSG00000012817	2005.03165258	468674.041416	3828.39530168	2599.40417216
ENSG00000012822	226090.040827	101298.746968	189303.139471	294685.232931
ENSG00000012963	24456.8201011	14056.4877005	12955.5777095	7919.50622619
ENSG00000012983	30798.5864536	29685.8944051	29706.0288658	44362.9583468
ENSG00000013016	15649.4271115	1334.57152308	104571.335293	2091.43788533
ENSG00000013275	41880.9935835	50209.2319347	34061.8775502	38583.5669708
ENSG00000013288	76556.0133771	90867.8292095	101983.06807	92469.9993116
ENSG00000013293	1054.14493655	1846.93994216	2433.76606559	2866.84407519
ENSG00000013297	3175.83182864	2714.67384571	3150.5902504	3504.94738831
ENSG00000013306	144147.870407	68945.1523306	46507.1227673	110046.434304
ENSG00000013364	166520.782555	71874.1412148	61823.0404579	128395.267688
ENSG00000013374	16338.1049712	26614.5677499	28342.8582646	24603.1272076
ENSG00000013375	214080.023427	184906.348111	164316.597564	163691.432922
ENSG00000013392	15536.2569389	11942.8185303	12908.147137	10729.7374864
ENSG00000013441	944156.77352	677719.78997	744347.170046	315535.512741
ENSG00000013503	14399.2027961	14576.5941606	8794.70133537	3013.17096334
ENSG00000013523	44999.9011701	41756.7631166	28048.8856501	20947.679436
ENSG00000013561	63794.8900163	71313.1319342	12470.7523384	20443.8284033
ENSG00000013563	42348.5988738	12952.8006224	14639.7345337	33273.9132602
ENSG00000013573	99197.4439199	106373.476481	154895.293822	92462.5433981
ENSG00000013583	1683.44462215	1160.84751761	472.059421526	1336.68039896
ENSG00000013588	3290.77359806	4710.86458118	22623.7304021	6619.48844738
ENSG00000013619	2153.01292009	52.0211817693	911.720992475	12.5639707777
ENSG00000013725	4276.76893415	1999.304384	2118.2074689	3681.18850507
ENSG00000013810	8765.12081378	3620.21757903	11885.677085	4049.01328967
ENSG00000014123	201801.658835	119415.13984	89924.3398236	62336.9461115
ENSG00000014138	6983.43153959	6315.46490691	23543.1548737	4294.95460358
ENSG00000014164	11774.0254194	17945.6916473	14007.4753897	12898.0735047
ENSG00000014216	81374.6147159	70426.8771474	132120.158177	88936.1074306
ENSG00000014257	5405.53411208	301.307835925	160.613457106	215.358217386
ENSG00000014641	85400.9246733	41554.9981274	27281.7385802	56445.4207301
ENSG00000014824	74773.2454215	58273.5611075	42751.7382025	48050.1570815
ENSG00000014914	375.366202953	1022.21699075	537.184980852	339.708452453
ENSG00000014919	44258.6535016	21565.5073035	20364.1475059	23742.7821371
ENSG00000015133	457633.158534	507174.808736	367052.847093	609019.204386
ENSG00000015153	35752.5673912	32277.386792	44752.9598421	48550.0665151
